"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create File with EMPTY Directory (negative)","tests.files","2026-07-13","passed","2026-07-13","TestCreateFileNegative","test_create_file","",""
"","10","Create Course (v.1 - Через API-фикстуру полного цикла)","tests.courses","2026-07-13","passed","2026-07-13","TestCreateCourse","test_create_course","",""
"","18","Create File","tests.files","2026-07-13","passed","2026-07-13","TestCreateFile","test_create_file","",""
"","288","Create User (v.4 - All manual)","tests.users","2026-07-13","passed","2026-07-13","TestCreateUser","test_create_user","",""
"","19","Get Courses (v.1 - Через Pydantic-фикстуры)","tests.courses","2026-07-13","passed","2026-07-13","TestGetCourses","test_get_courses","",""
"","273","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-13","passed","2026-07-13","TestCreateUser","test_create_user","",""
"","14","Update Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-13","passed","2026-07-13","TestUpdateExercise","test_update_exercise","",""
"","19","Get File by non-existent File-ID (negative)","tests.files","2026-07-13","passed","2026-07-13","TestGetFileNegative","test_get_file","",""
"","14","Get File by INVALID File-ID (non-UUID) (negative)","tests.files","2026-07-13","passed","2026-07-13","TestGetFileNegative","test_get_file","",""
"","23","Get Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-13","passed","2026-07-13","TestGetExercise","test_get_exercise","",""
"","6","Authentication (v.1 - Через API-фикстуру полного цикла)","tests.auth","2026-07-13","passed","2026-07-13","TestAuth","test_auth","",""
"","28","Delete Exercise","tests.exercises","2026-07-13","passed","2026-07-13","TestDeleteExercise","test_delete_exercise","",""
"","19","Get Courses (v.1 - Через фикстуру полного цикла)","tests.courses","2026-07-13","passed","2026-07-13","TestGetCourses","test_get_courses","",""
"","23","Update Course","tests.courses","2026-07-13","passed","2026-07-13","TestUpdateCourse","test_update_course","",""
"","12","Get User Me (v.2 - Через фикстуру получения экземпляра UsersClientPrivate)","tests.users","2026-07-13","passed","2026-07-13","TestGetUserMe","test_get_user_me","",""
"","12","Get User Me (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-13","passed","2026-07-13","TestGetUserMe","test_get_user_me","",""
"","24","Create Course (v.2 - Через Pydantic-фикстуры)","tests.courses","2026-07-13","passed","2026-07-13","TestCreateCourse","test_create_course","",""
"","16","Create File with EMPTY File Name (negative)","tests.files","2026-07-13","passed","2026-07-13","TestCreateFileNegative","test_create_file","",""
"","8","Create Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-13","passed","2026-07-13","TestCreateExercise","test_create_exercise","",""
"","13","Update Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-13","passed","2026-07-13","TestUpdateExercise","test_update_exercise","",""
"","7","Get Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-13","passed","2026-07-13","TestGetExercise","test_get_exercise","",""
"","273","Create User (v.2 - Через фикстуру UsersClientPublic)","tests.users","2026-07-13","passed","2026-07-13","TestCreateUser","test_create_user","",""
"","11","Get File by ID","tests.files","2026-07-13","passed","2026-07-13","TestGetFile","test_get_file","",""
"","695","Get User Me (v.3 - All manual)","tests.users","2026-07-13","passed","2026-07-13","TestGetUserMe","test_get_user_me","",""
"","275","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-13","passed","2026-07-13","TestCreateUser","test_create_user","",""
"","6","Create User (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-13","passed","2026-07-13","TestCreateUser","test_create_user","",""
"","1","Get Exercises (v.1 - Через API-фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-13","passed","2026-07-13","TestGetExercises","test_get_exercises","",""
"","16","Create Exercise (v.2 - Через фикстуры: exercises_client, create_course)","tests.exercises","2026-07-13","passed","2026-07-13","TestCreateExercise","test_create_exercise","",""
"","273","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-13","passed","2026-07-13","TestCreateUser","test_create_user","",""
"","18","Delete File by ID","tests.files","2026-07-13","passed","2026-07-13","TestDeleteFile","test_delete_file","",""
"","268","Authentication (v.2 - Через фикстуры: create_user + auth_client)","tests.auth","2026-07-13","passed","2026-07-13","TestAuth","test_auth","",""
