"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Create Course (v.1 - Через API-фикстуру полного цикла)","tests.courses","2026-09-03","passed","2026-09-03","TestCreateCourse","test_create_course","",""
"","276","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-09-03","passed","2026-09-03","TestCreateUser","test_create_user","",""
"","25","Get Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-09-03","passed","2026-09-03","TestGetExercise","test_get_exercise","",""
"","31","Delete Exercise","tests.exercises","2026-09-03","passed","2026-09-03","TestDeleteExercise","test_delete_exercise","",""
"","274","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-09-03","passed","2026-09-03","TestCreateUser","test_create_user","",""
"","1","Get Exercises","tests.exercises","2026-09-03","passed","2026-09-03","TestGetExercises","test_get_exercises","",""
"","14","Get File by INVALID File-ID (non-UUID) (negative)","tests.files","2026-09-03","passed","2026-09-03","TestGetFileNegative","test_get_file","",""
"","12","Get File by ID","tests.files","2026-09-03","passed","2026-09-03","TestGetFile","test_get_file","",""
"","24","Update Course","tests.courses","2026-09-03","passed","2026-09-03","TestUpdateCourse","test_update_course","",""
"","8","Create Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-09-03","passed","2026-09-03","TestCreateExercise","test_create_exercise","",""
"","16","Update Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-09-03","passed","2026-09-03","TestUpdateExercise","test_update_exercise","",""
"","269","Authentication (v.2 - Через фикстуры: create_user + auth_client)","tests.auth","2026-09-03","passed","2026-09-03","TestAuth","test_auth","",""
"","30","Create File","tests.files","2026-09-03","passed","2026-09-03","TestCreateFile","test_create_file","",""
"","274","Create User (v.2 - Через фикстуру UsersClientPublic)","tests.users","2026-09-03","passed","2026-09-03","TestCreateUser","test_create_user","",""
"","19","Delete File by ID","tests.files","2026-09-03","passed","2026-09-03","TestDeleteFile","test_delete_file","",""
"","600","Get User Me (v.3 - All manual)","tests.users","2026-09-03","passed","2026-09-03","TestGetUserMe","test_get_user_me","",""
"","12","Get User Me (v.1 - Через фикстуру полного цикла)","tests.users","2026-09-03","passed","2026-09-03","TestGetUserMe","test_get_user_me","",""
"","13","Get User Me (v.2 - Через фикстуру получения экземпляра UsersClientPrivate)","tests.users","2026-09-03","passed","2026-09-03","TestGetUserMe","test_get_user_me","",""
"","17","Create Exercise (v.2 - Через фикстуры: exercises_client, create_course)","tests.exercises","2026-09-03","passed","2026-09-03","TestCreateExercise","test_create_exercise","",""
"","28","Create File with EMPTY File Name (negative)","tests.files","2026-09-03","passed","2026-09-03","TestCreateFileNegative","test_create_file","",""
"","274","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-09-03","passed","2026-09-03","TestCreateUser","test_create_user","",""
"","6","Authentication (v.1 - Через API-фикстуру полного цикла)","tests.auth","2026-09-03","passed","2026-09-03","TestAuth","test_auth","",""
"","27","Create Course (v.2 - Через Pydantic-фикстуры)","tests.courses","2026-09-03","passed","2026-09-03","TestCreateCourse","test_create_course","",""
"","6","Create User (v.1 - Через фикстуру полного цикла)","tests.users","2026-09-03","passed","2026-09-03","TestCreateUser","test_create_user","",""
"","15","Update Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-09-03","passed","2026-09-03","TestUpdateExercise","test_update_exercise","",""
"","21","Get File by non-existent File-ID (negative)","tests.files","2026-09-03","passed","2026-09-03","TestGetFileNegative","test_get_file","",""
"","28","Create File with EMPTY Directory (negative)","tests.files","2026-09-03","passed","2026-09-03","TestCreateFileNegative","test_create_file","",""
"","7","Get Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-09-03","passed","2026-09-03","TestGetExercise","test_get_exercise","",""
"","21","Get Courses (v.1 - Через Pydantic-фикстуры)","tests.courses","2026-09-03","passed","2026-09-03","TestGetCourses","test_get_courses","",""
"","290","Create User (v.4 - All manual)","tests.users","2026-09-03","passed","2026-09-03","TestCreateUser","test_create_user","",""
"","19","Get Courses (v.1 - Через фикстуру полного цикла)","tests.courses","2026-09-03","passed","2026-09-03","TestGetCourses","test_get_courses","",""
